y_true,proba,yhat
1,0.9946996037546328,1
1,0.9891630926373751,1
0,0.10202802744643737,0
0,0.6734896789609356,1
1,0.7615988584411315,1
1,0.6294626025314214,1
1,0.9435424399356135,1
1,0.8364675432862034,1
1,0.672377583708019,1
1,0.474380113099919,0
1,0.6421151886289203,1
1,0.990449321085857,1
1,0.997095331852508,1
1,0.9996949492143019,1
0,0.7533867819271662,1
1,0.6543618046598574,1
1,0.984533366236749,1
1,0.5564557987455795,1
0,0.11089286712376487,0
0,0.28652070671592395,0
0,0.7761687490152522,1
1,0.48209706232293803,0
1,0.7941583160839742,1
0,0.2861633721552891,0
0,0.8478249152132189,1
0,0.8226166816407384,1
1,0.6172090840034923,1
0,0.6955339134962242,1
1,0.9627487177766078,1
0,0.2820387235117212,0
1,0.8839167819430296,1
0,0.24134372135004023,0
1,0.9836804061585925,1
1,0.9454935580975468,1
1,0.9983390983695136,1
1,0.7577206109821325,1
1,0.7803241273310122,1
1,0.9122246091805887,1
1,0.6478417361588311,1
1,0.9099041613782589,1
0,0.09901009136415342,0
1,0.9778041688431498,1
0,0.12762537278010627,0
0,0.42085461520114226,0
1,0.40904418117435454,0
1,0.9781614141716437,1
1,0.8832647264672108,1
0,0.28424662421531455,0
1,0.7119949967334213,1
1,0.9440290219409216,1
1,0.852916921451892,1
0,0.10340046837645267,0
1,0.3953947137572962,0
1,0.9404732707062128,1
1,0.9996784609675555,1
1,0.9916289145953189,1
1,0.7716608600446532,1
0,0.8396215801756076,1
0,0.3379827221204654,0
0,0.48345214922018315,0
1,0.9953988427869108,1
1,0.958317291295253,1
0,0.9287966734937722,1
1,0.917937594384695,1
1,0.6278139334192014,1
0,0.5574506056674524,1
1,0.9997456111415082,1
1,0.9002117623405739,1
1,0.7809596348397968,1
1,0.9541176111036844,1
0,0.36959292896318785,0
0,0.5430769926610128,1
0,0.024425204200362077,0
1,0.8357826418977934,1
1,0.9913419803314966,1
1,0.8701363766824184,1
1,0.9987123772624701,1
1,0.8538796791375421,1
0,0.26573762218619235,0
0,0.42333650469082046,0
1,0.9109809846898269,1
0,0.011588570004283996,0
0,0.2699361339860102,0
1,0.8678863790328618,1
0,0.4250774575275073,0
1,0.8441082307878686,1
0,0.6953729185793454,1
1,0.9903470172409915,1
0,0.2619223368828166,0
0,0.4537315611729757,0
1,0.6803428352136295,1
1,0.9788175737609737,1
1,0.7559844075445633,1
0,0.959738828528997,1
1,0.8073902878031742,1
0,0.4662867883528566,0
0,0.8676485320044204,1
0,0.4585229054315825,0
1,0.7675199814061142,1
0,0.597846538054286,1
1,0.7253825243968796,1
0,0.0359544829739705,0
0,0.48117123964640424,0
0,0.7390094195813279,1
1,0.8708009709956768,1
1,0.8894317255824089,1
0,0.5051271878962585,1
1,0.5148876137099715,1
1,0.30888636868463076,0
0,0.7088378377270954,1
1,0.9994485360418552,1
0,0.760785059231568,1
0,0.6983032531835945,1
0,0.8605874303308736,1
1,0.8519196302902334,1
0,0.45030303880319206,0
0,0.3564528830497491,0
1,0.5389550608315138,1
0,0.6770188283122126,1
1,0.9335301888435581,1
1,0.3132689628429441,0
1,0.9464905175828506,1
1,0.9975161973490764,1
1,0.8768162404228447,1
0,0.7159758450612,1
1,0.9325396365720663,1
1,0.4023678637789604,0
0,0.36364352936873195,0
1,0.9837294960453385,1
1,0.36932632230988266,0
0,0.4355481082676836,0
0,0.7820617824585501,1
1,0.746994780094663,1
1,0.8660559455522217,1
1,0.8628523234485497,1
0,0.3935569743537305,0
1,0.5345937275299373,1
1,0.9294615031548255,1
0,0.13054395834379678,0
1,0.4810391800451618,0
0,0.7083356716348986,1
0,0.6431887034802165,1
0,0.5475512107376815,1
1,0.5708549370449525,1
1,0.3849328905422216,0
1,0.8585307297183982,1
0,0.3969792561017375,0
1,0.756466056950164,1
0,0.5261810517276809,1
1,0.9899925887878712,1
1,0.7898215688891249,1
1,0.49422357309474474,0
1,0.6243783460295838,1
0,0.04813836589470054,0
0,0.5623317434307216,1
1,0.2436074386550187,0
1,0.9965387996333298,1
1,0.9875211239693851,1
0,0.1871616568116538,0
1,0.9975678641046658,1
1,0.8516784219724199,1
1,0.8779146058783054,1
1,0.9651941158403476,1
0,0.5592244109723151,1
1,0.8890518925855571,1
1,0.9990556716755913,1
1,0.9721824132181782,1
1,0.8955770631598897,1
1,0.762255330564076,1
1,0.9980344814842569,1
1,0.9978571617768901,1
1,0.8940821392486044,1
1,0.5037566441995422,1
1,0.7791504461145281,1
1,0.6065636502433309,1
1,0.5247802926777451,1
1,0.6964061152261473,1
0,0.2611611823178716,0
1,0.6522868618736253,1
1,0.6875872733337692,1
0,0.668076558482833,1
1,0.9334994993698116,1
1,0.643797923222246,1
1,0.5352957031375073,1
1,0.739121563756282,1
1,0.7622932631865167,1
0,0.5181202222437579,1
0,0.2595021869460509,0
0,0.1397649971312326,0
1,0.8801838501199889,1
1,0.8742759310932576,1
1,0.7712122339968714,1
1,0.931159367865166,1
0,0.4676231500640855,0
1,0.6157455126884166,1
1,0.9274254452971655,1
0,0.26287146011411805,0
1,0.6121126795718993,1
1,0.724895658909788,1
1,0.6860564266896887,1
0,0.6215398960152496,1
1,0.9976186669377685,1
0,0.4706401427183036,0
1,0.6435661141086709,1
1,0.5292545753279094,1
1,0.43128591876402905,0
0,0.3730704041199069,0
1,0.7098115878580011,1
0,0.5291456824803104,1
0,0.7197415274543334,1
1,0.7750886793790857,1
1,0.921872473047712,1
0,0.09771666156406203,0
1,0.8646561168920017,1
1,0.8173319963602894,1
1,0.9925115463030385,1
0,0.3271975653455305,0
1,0.7315445123788987,1
1,0.7665828596021941,1
0,0.5263108132629929,1
1,0.7789129835855696,1
1,0.8588196346417509,1
1,0.5756773812239115,1
0,0.05187643106220147,0
1,0.9995004385695789,1
0,0.4555071581405111,0
1,0.8099284545924904,1
0,0.7469417372283242,1
0,0.5712452297801758,1
0,0.47111670379859544,0
1,0.6283993542265863,1
0,0.6029231208096576,1
1,0.4944855916053792,0
0,0.6951977845990693,1
1,0.9993468196591463,1
1,0.9877750743982152,1
0,0.45728853537391134,0
0,0.42650972070507315,0
0,0.8538816602238999,1
1,0.8095302561995784,1
0,0.663187775686473,1
0,0.2773417997595061,0
1,0.3835059225212747,0
1,0.41662037383422534,0
0,0.2362402314252953,0
1,0.8303632372609405,1
0,0.005948268541417531,0
1,0.5403762842991325,1
1,0.7889364984508209,1
1,0.5354117952607972,1
0,0.39857010131963333,0
1,0.8307759160285572,1
0,0.4668431657337362,0
1,0.6756769410370207,1
0,0.3987964213706079,0
0,0.6443825208540421,1
1,0.7540292117274309,1
0,0.1350942504475435,0
0,0.5727154402659188,1
1,0.9826591693132717,1
0,0.6249982420498579,1
1,0.6545513706622966,1
0,0.6622356110982068,1
1,0.6536317592509953,1
1,0.993484572389676,1
0,0.23042830949886242,0
1,0.8841392816322591,1
1,0.3993533450638689,0
1,0.9984983342343567,1
1,0.5651670739792639,1
1,0.9043306401223973,1
1,0.8681415568385301,1
1,0.13006210525173703,0
1,0.4765060496936427,0
1,0.7216469402333184,1
1,0.3071402507499303,0
1,0.4779694657236312,0
1,0.29912725881657776,0
1,0.9962251811166143,1
1,0.8487912309400092,1
1,0.627681028185357,1
1,0.9884945891176424,1
0,0.36583060043140286,0
1,0.9959833476222585,1
1,0.9962784322131967,1
0,0.3849409076982602,0
0,0.8552807818360629,1
0,0.18681910775397534,0
1,0.9997912295040204,1
1,0.7221615922886703,1
0,0.5535432249008274,1
1,0.7377573461378311,1
1,0.6470110683327622,1
0,0.19045954488055095,0
1,0.9434266707813994,1
1,0.8698570708006637,1
0,0.053267420053501095,0
1,0.5715012614567616,1
0,0.4805497885657937,0
1,0.7591713580678912,1
